,ASC Parameter,,,,,,,Log(Enrollment + 1),,,,,,
,Other,UG FT F,UG FT N,UG PT,G FT F,G FT N,G PT,Other,UG FT F,UG FT N,UG PT,G FT F,G FT N,G PT
Segment,0,1,2,3,4,5,6,0,1,2,3,4,5,6
Sample_Size,300,6794,3302,685,841,2191,336,300,6794,3302,685,841,2191,336
B_ACCESS,1.576995777,1.292925724,2.240838297,1.252180173,1.249620041,1.220248097,0.796795379,1.640589299,1.311472494,2.119359242,1.268743547,1.240563543,0.79347984,0.476067025
B_ACCESS_P,1.40E-14,0,0,0,1.03E-13,0,1.84E-05,0,0,0,0,7.17E-14,0,0.005832769
ASC_SG,1.59597845,2.139558128,1.514115715,2.521801174,4.828755994,4.188311659,3.959275093,10.89546073,10.57882711,10.57882711,10.57882711,9.591376166,9.591376166,9.591376166
ASC_SC,-0.446260455,1.224162483,0.591975869,0.933912013,1.143683091,1.578524461,-1.055061583,9.373394158,9.349667437,9.349667437,9.349667437,5.624017506,5.624017506,5.624017506
ASC_MI,-0.157171542,1.09027952,0.791563492,0.75680164,1.203164311,1.621320389,-1.031844408,9.495444123,9.449908302,9.449908302,9.449908302,6.385194399,6.385194399,6.385194399
ASC_YK,1.398151234,2.16907925,1.927694801,2.326209237,3.691199541,3.820195201,3.410286897,10.62480908,10.52578299,10.52578299,10.52578299,8.263590433,8.263590433,8.263590433
ASC_YG,0,0,0,0,0,0,0,7.80710329,7.758760544,7.758760544,7.758760544,4.762173935,4.762173935,4.762173935
ASC_RY,2.449956495,2.127983071,0.596828395,1.674731279,3.102059942,1.958334061,2.139418935,10.24565781,10.16692816,10.16692816,10.16692816,7.665284718,7.665284718,7.665284718
ASC_OC,-1.963595565,0.003986671,-0.633403888,0.4578855,0.746451343,0.212206669,1.220556129,8.158229917,8.107418812,8.107418812,8.107418812,5.159055299,5.159055299,5.159055299
Log_Lhood,-343.1682361,-11073.47536,-3364.705783,-1012.623895,-856.3511333,-1867.923833,-352.2518053,-428.3664153,-11178.91055,-3510.032462,-1032.041415,-861.9819944,-1974.83155,-381.3763916
Akaike,700.3364721,22160.95072,6743.411566,2039.247789,1726.702267,3749.847666,718.5036105,858.7328305,22359.82109,7022.064923,2066.08283,1725.963989,3951.6631,764.7527832
Bayesian,726.2629494,22208.71729,6786.127551,2070.953721,1759.844408,3789.692459,745.2233886,862.436613,22366.64489,7028.167207,2070.612249,1730.69858,3957.355213,768.5698943
,,,,,,,,,,,,,,
,,,,,,,,Enrollment Data Used,,,,,,
,,,,,,,,Total,UG,UG,UG,Grad,Grad,Grad
,,,,,,,,,,,,,,
,2,,,,,,,2,,,,,,
,0,,,,,,,0,,,,,,
,1,,,,,,,1,,,,,,
,3,4,5,,,,,3,4,,,,,
,6,,,,,,,5,,,,,,
,,,,,,,,6,,,,,,
