Campus,Code,Zone,Total,Source
Story Arts Centre ,CST,282,1425,Data
Ashtonbee Campus,CAS,526,2332,Data
Progress Campus,CPR,493,11871,Data
Morningside Campus,CMO,564,4035.776162,ASC
Downsview Campus,CDV,419,42.21287156,ASC
Eglinton Learning Site,CEG,200,19,Data
Pickering Learning Site,CPI,1042,32,Data
Performing Arts Commons at Daniels Spectrum,CDS,18,20.5872205,ASC
Oshawa Campus,DOS,1179,9380,Data
Whitby Campus,DWH,1148,2095,Data
McMaster Campus,MCM,5198,29511.64057,Prop
Burlington Campus/Ron Joyce Centre,MCB,4069,795.9547741,ASC
Fennell Campus (Main Campus),MOF,5142,11820,Data
Stoney Creek Campus ,MOS,5119,1178,Data
Institute for Applied Health Sciences,MOI,5198,1373,Data
Downtown Oshawa Campus,OTD,1208,8124.467213,Prop
North Oshawa Campus,OTN,1179,1820.532787,Prop
"Davis Campus, Brampton",SHD,3325,8708,Data
"Hazel McCallion Campus, Mississauga",SHH,3842,4294,Data
"Trafalgar Road Campus, Oakville",SHT,4029,7353,Data
Mississauga Campus,MI,3631,13298,Data
Scarborough Campus,SC,566,11770,Data
St. George Campus,SG,69,53930,Data
Keele Campus,YK,391,41142,Data
Glendon Campus,YG,225,2457,Data
Ryerson University,RY,38,28159,Data
OCAD University,OC,67,3491,Data
