"","Threshold","R.2"
"1",-1,0.393739202219815
"2",15,0.386089884659104
"3",17,0.445289467146451
"4",19,0.451799496800806
"5",21,0.481699613507187
"6",23,0.491183770056068
"7",25,0.509180405260829
"8",25.2,0.509180405260829
"9",25.4,0.509180405260829
"10",25.6,0.509180405260829
"11",25.8,0.509180405260829
"12",26,0.509180405260829
"13",26.2,0.509224415851014
"14",26.4,0.509305576486888
"15",26.6,0.514865271250126
"16",26.8,0.514559483747087
"17",27,0.515066046885394
"18",27.2,0.51857272996828
"19",27.4,0.51857272996828
"20",27.6,0.518197595668548
"21",27.8,0.51955558787173
"22",28,0.519386307695288
"23",28.2,0.519236689139409
"24",28.4,0.519019360252247
"25",28.6,0.52018463401828
"26",28.8,0.520892474123301
"27",29,0.521708614259183
"28",29.2,0.521166483479719
"29",29.4,0.521920497773997
"30",29.6,0.521920497773997
"31",29.8,0.521920497773997
"32",30,0.521920497773997
"33",30.2,0.522048544516877
"34",30.4,0.522048544516877
"35",30.6,0.522305343407282
"36",30.8,0.521739925788475
"37",31,0.521033381083358
"38",31.2,0.519760774508624
"39",31.4,0.519760774508624
"40",31.6,0.518925895266354
"41",31.8,0.519853961154459
"42",32,0.519436760300693
"43",32.2,0.519436760300693
"44",32.4,0.519436760300693
"45",32.6,0.519740444671935
"46",32.8,0.519983907129716
"47",33,0.519564792163383
"48",33.2,0.519564792163383
"49",33.4,0.520017589014263
"50",33.6,0.519664610259867
"51",33.8,0.519964078094888
"52",34,0.519971110128925
"53",34.2,0.519971110128925
"54",34.4,0.519389473109863
"55",34.6,0.519884732523118
"56",34.8,0.519224408221764
"57",35,0.519224408221764
"58",35.2,0.519005303776103
"59",35.4,0.519362861500407
"60",35.6,0.519420433111586
"61",35.8,0.519420433111586
"62",36,0.51936730845993
"63",36.2,0.51936730845993
"64",36.4,0.519098981356693
"65",36.6,0.518570225480602
"66",36.8,0.518570225480602
"67",37,0.518570225480602
"68",40,0.509801333534653
"69",45,0.504118583208811
"70",50,0.4946353451967
"71",55,0.48616002654735
"72",60,0.479508351274308
"73",75,0.461564376966243
"74",90,0.449018879039828
"75",105,0.439074459151709
"76",120,0.432689873810156
"77",180,0.417372524704982
"78",240,0.404838242244397
"79",300,0.393743733222859
