,Threshold,R.2,In.Sample.Accuracy,Full.Sample.Accuracy
1,-1,0.347192068,0.687915401,0.687915401
2,15,0.386089885,0.773551746,0.621583601
3,17,0.445289467,0.778467795,0.646886906
4,19,0.451799497,0.77897301,0.65071913
5,21,0.481699614,0.780699465,0.671681451
6,23,0.49118377,0.781451195,0.679701383
7,25,0.509180405,0.783284332,0.697290924
8,27,0.515066047,0.782399664,0.707734755
9,29,0.521708614,0.7815881,0.720538052
10,31,0.521033381,0.780093002,0.723365657
11,33,0.519564792,0.778480051,0.725909825
12,35,0.519224408,0.776792412,0.729571307
13,35.2,0.519005304,0.776617426,0.729616318
14,35.4,0.519362862,0.776647298,0.730377166
15,35.6,0.519420433,0.776662977,0.730444254
16,35.8,0.519420433,0.776662977,0.730444254
17,36,0.519367308,0.776591129,0.730533696
18,36.2,0.519367308,0.776591129,0.730533696
19,36.4,0.519098981,0.776289048,0.730825024
20,36.6,0.518570225,0.775915685,0.730787282
21,36.8,0.518570225,0.775915685,0.730787282
22,37,0.518570225,0.775915685,0.730787282
23,37.2,0.51835049,0.775798487,0.730676901
24,37.4,0.51835049,0.775798487,0.730676901
25,37.6,0.516591257,0.774851883,0.729942016
26,37.8,0.515799969,0.774455712,0.729621
27,38,0.515589499,0.774341646,0.729513537
28,38.2,0.515494139,0.774258931,0.729539973
29,38.4,0.515189103,0.774062779,0.729459485
30,38.6,0.515189103,0.774062779,0.729459485
31,38.8,0.515189103,0.774062779,0.729459485
32,39,0.514284792,0.773534003,0.729065443
33,39.2,0.514284792,0.773534003,0.729065443
34,39.4,0.513654275,0.772971234,0.729264342
35,39.6,0.511353238,0.771572837,0.728309015
36,39.8,0.510784251,0.771254746,0.72800876
37,40,0.509801334,0.770709352,0.72759783
38,40.2,0.508892185,0.770187372,0.727260767
39,40.4,0.508767962,0.770100708,0.727230834
40,40.6,0.508767962,0.770100708,0.727230834
41,40.8,0.508353645,0.769401759,0.728230105
42,41,0.507362293,0.768956369,0.727808549
43,41.2,0.507362293,0.768956369,0.727808549
44,41.4,0.507362293,0.768956369,0.727808549
45,41.6,0.506493055,0.768365392,0.727508114
46,41.8,0.506154739,0.767867901,0.728020328
47,42,0.506154739,0.767867901,0.728020328
48,42.2,0.506154739,0.767867901,0.728020328
49,42.4,0.506144526,0.767814646,0.728125076
50,42.6,0.505674531,0.7675829,0.72790531
51,42.8,0.505674531,0.7675829,0.72790531
52,43,0.505674531,0.7675829,0.72790531
53,43.2,0.505674531,0.7675829,0.72790531
54,43.4,0.505618012,0.767517773,0.727947002
55,43.6,0.505618012,0.767517773,0.727947002
56,43.8,0.505437422,0.767270251,0.72817763
57,44,0.505427317,0.767217704,0.728282879
58,44.2,0.505617892,0.767267002,0.728536514
59,44.4,0.505025556,0.766759309,0.728726228
60,44.6,0.504418992,0.766308993,0.728608119
61,44.8,0.504178772,0.766150567,0.728509122
62,45,0.504118583,0.766037487,0.728659731
63,45.2,0.504118583,0.766037487,0.728659731
64,45.4,0.503407108,0.765520944,0.728477944
65,45.6,0.503171831,0.765366666,0.728382712
66,45.8,0.503123675,0.765306483,0.728428593
67,46,0.503123675,0.765306483,0.728428593
68,46.2,0.502232231,0.764711527,0.728068455
69,46.4,0.502232231,0.764711527,0.728068455
70,46.6,0.501387067,0.764032845,0.728143177
71,46.8,0.501260048,0.763957276,0.728071158
72,47,0.501260048,0.763957276,0.728071158
73,47.2,0.500592132,0.763529764,0.727766643
74,47.4,0.499784525,0.76307309,0.727382786
75,47.6,0.499784525,0.76307309,0.727382786
76,47.8,0.499784525,0.76307309,0.727382786
77,48,0.498397422,0.762282348,0.726680403
78,48.2,0.498548928,0.762307612,0.726909988
79,48.4,0.497811463,0.761855929,0.726530624
80,48.6,0.49751096,0.761471283,0.72683096
81,48.8,0.49751096,0.761471283,0.72683096
82,49,0.496635208,0.760982728,0.72662106
83,49.2,0.496598259,0.760928892,0.72667222
84,49.4,0.496598259,0.760928892,0.72667222
85,49.6,0.495876167,0.760408029,0.72648229
86,49.8,0.495876167,0.760408029,0.72648229
87,50,0.494635345,0.759877559,0.726026698
88,51,0.493010831,0.75877176,0.725686079
89,52,0.490144734,0.756750982,0.725283442
90,53,0.48871167,0.755608648,0.725614478
91,54,0.487526372,0.755028385,0.725159018
92,55,0.486160027,0.753944758,0.725185307
93,60,0.479508351,0.74922511,0.724685186
94,75,0.461564377,0.737621575,0.72186298
95,90,0.449018879,0.730672253,0.719198562
96,105,0.439074459,0.725660162,0.717003884
97,120,0.432689874,0.722622975,0.715512653
98,180,0.417372525,0.716340773,0.711657861
99,240,0.404838242,0.711143982,0.707789077
100,300,0.393743733,0.706541854,0.704113384
