,Choice Specific Variables,Null R^2,Time R^2,Adj. R^2,,,Choice Specific Variables,Null R^2,Time R^2,Adj. R^2
,,,,,,,,,,
1,None,0.358517866,0,0,,1,None,0.358517866,0,0
2, Family  ,0.390697304,0.050164201,0.050033103,,2, Gender  ,0.36006836,0.00241705,0.002285953
3, Children  ,0.363483627,0.007741074,0.007609977,,3, Level  ,0.362176236,0.005702996,0.005571899
4, Adults  ,0.359169932,0.001016501,0.000885403,,4, Status  ,0.363322152,0.007489354,0.007358256
5, Income  ,0.363165931,0.007245822,0.007114724,,5, Work  ,0.36103137,0.003918276,0.003787178
6, Family + Children  ,0.3910712,0.050747063,0.050484868,,6, Gender + Level  ,0.363625616,0.007962421,0.007700226
7, Family + Adults  ,0.39082719,0.050366678,0.050104483,,7, Gender + Status  ,0.364856607,0.0098814,0.009619205
8, Adults + Children  ,0.363911619,0.008408267,0.008146072,,8, Gender + Work  ,0.362546914,0.006280842,0.006018647
9, Family + Income  ,0.394433426,0.055988403,0.055726208,,9, Level + Work  ,0.36477889,0.009760248,0.009498053
10, Family + Children + Adults  ,0.391219175,0.050977739,0.050584447,,10, Status + Work  ,0.364525953,0.009365947,0.009103752
11, Family + Children + Income  ,0.394842553,0.056626187,0.056232894,,11, Gender + Level + Work  ,0.366196941,0.011970833,0.011577541
12, Family + Adults + Income  ,0.394522609,0.05612743,0.055734138,,12, Gender + Status + Work  ,0.366031412,0.011712792,0.011319499
13, Family + Children + Adults + Income  ,0.394946041,0.056787513,0.056263123,,,,,,
,,,,,,,Choice Specific Variables,Null R^2,Time R^2,Adj. R^2
,Choice Specific Variables,Null R^2,Time R^2,Adj. R^2,,,,,,
,,,,,,1,None,0.358517866,0,0
1,None,0.358517866,0,0,,2, Family  ,0.390697304,0.050164201,0.050033103
2, Income  ,0.363165931,0.007245822,0.007114724,,3, Cars  ,0.413992969,0.086479577,0.086348479
3, Cars  ,0.413992969,0.086479577,0.086348479,,4, Level  ,0.362176236,0.005702996,0.005571899
4, Licence  ,0.382815628,0.037877535,0.037746438,,5, Level + Family  ,0.391843817,0.051951487,0.051689293
5, Car_Avail  ,0.359382754,0.001348265,0.001217168,,6, Level + Cars  ,0.416378247,0.090197963,0.089935768
6, Cars + Licence  ,0.433104087,0.116271704,0.116009509,,7, Level + Family + Cars  ,0.435339499,0.119756465,0.119363173
7, Cars + Car_Avail  ,0.417393727,0.091780983,0.091518788,,,,,,
8, Cars + Income  ,0.415093558,0.088195274,0.087933079,,,,,,
9, Income + Licence  ,0.386210779,0.043170203,0.042908008,,,,,,
10, Income + Car_Avail  ,0.364158719,0.008793469,0.008531274,,,,,,
11, Car_Avail + Licence  ,0.391956166,0.052126628,0.051864433,,,,,,
12, Cars + Car_Avail + Licence  ,0.446049252,0.136451792,0.1360585,,,,,,
13, Cars + Income + Licence  ,0.433642396,0.117110869,0.116717577,,,,,,
14, Cars + Car_Avail + Income  ,0.418431429,0.093398647,0.093005354,,,,,,
15, Income + Car_Avail + Licence  ,0.395413723,0.057516578,0.057123285,,,,,,
16, Cars + Car_Avail + Licence + Income  ,0.446385413,0.136975829,0.13645144,,,,,,
,,,,,,,,,,
,Choice Specific Variables,Null R^2,Time R^2,Adj. R^2,,,,,,
,,,,,,,,,,
1,None,0.358517866,0,0,,,,,,
2, Income  ,0.363165931,0.007245822,0.007114724,,,,,,
3, Family  ,0.390697304,0.050164201,0.050033103,,,,,,
4, Cars  ,0.413992969,0.086479577,0.086348479,,,,,,
5, Family + Cars  ,0.434384526,0.118267768,0.118005573,,,,,,
6, Family + Children + Cars  ,0.434490892,0.118433581,0.118040289,,,,,,
7, Family + Cars + Licence  ,0.448431861,0.140166017,0.139772725,,,,,,
8, Family + Cars + Income  ,0.435183061,0.119512596,0.119119304,,,,,,
9, Family + Children + Cars + Licence  ,0.4485746,0.140388531,0.139864142,,,,,,
10, Family + Children + Cars + Licence + Income  ,0.449060922,0.141146653,0.140491166,,,,,,
11, Family + Children + Adults + Cars  ,0.437603976,0.123286537,0.122762147,,,,,,
12, Family + Children + Adults + Cars + Income  ,0.438364981,0.12447286,0.123817373,,,,,,
13, Family + Cars + Licence + Car_Avail  ,0.45986762,0.157993105,0.157468715,,,,,,
14, Family + Cars + Licence + Car_Avail + Income  ,0.460212456,0.158530667,0.15787518,,,,,,
15,"Family + Children + Adults + Cars + Licence +
Car_Avail + Income",0.461793564,0.16099544,0.160077758,,,,,,
