,Availability Type,Filtered Prob.,Total Prob.,Biased R^2,Filtered Sample Size,,*Walking Threshold: 300 min
1,All Available (Full Sample),0.705215691,0.705215691,0.375199943,14660,,
2,Walk,0.723749466,0.726276074,0.429006601,14609,,
3,Car_Avail,0.751307059,0.808616217,0.513830072,13621,,
4,Car_Own (1+),0.709050213,0.710067363,0.407702289,14639,,
5,Car_Own (2+),0.730495935,0.750197577,0.479795373,14275,,
6,Car_Avail + Car_Own (1+),0.751404046,0.808779979,0.520957316,13620,,
7,Car_Avail + Car_Own (2+),0.755054128,0.816244637,0.537376424,13561,,
8,Walk + Car_Avail,0.771143708,0.833085244,0.583515675,13570,,
9,Walk + Car_Own (1+),0.728099764,0.731693347,0.460530821,14588,,
10,Walk + Car_Own (2+),0.750214962,0.773210865,0.537158548,14224,,
11,Walk + Car_Avail + Car_Own (1+),0.771327901,0.833345643,0.589922051,13569,,
12,Walk + Car_Avail + Car_Own (2+),0.775050006,0.841023915,0.607450459,13510,,
,,,,,,,
,Availability Type,Filtered Prob.,Total Prob.,Biased R^2,Filtered Sample Size,,*Walking Threshold: 46.6 min (global max)
1,All Available (Full Sample),0.705215691,0.705215691,0.375199943,14660,,
2,Walk,0.750393081,0.787850933,0.548411997,13963,,
3,Car_Avail,0.751307059,0.808616217,0.513830072,13621,,
4,Car_Own (1+),0.709050213,0.710067363,0.407702289,14639,,
5,Car_Own (2+),0.730495935,0.750197577,0.479795373,14275,,
6,Car_Avail + Car_Own (1+),0.751404046,0.808779979,0.520957316,13620,,
7,Car_Avail + Car_Own (2+),0.755054128,0.816244637,0.537376424,13561,,
8,Walk + Car_Avail,0.802070002,0.909807044,0.756981009,12924,,
9,Walk + Car_Own (1+),0.756186795,0.79512971,0.5807782,13942,,
10,Walk + Car_Own (2+),0.780635114,0.842842154,0.672644819,13578,,
11,Walk + Car_Avail + Car_Own (1+),0.802559126,0.910432313,0.763033572,12923,,
12,Walk + Car_Avail + Car_Own (2+),0.806730614,0.919361847,0.786304192,12864,,
,,,,,,,
,Availability Type,Filtered Prob.,Total Prob.,Biased R^2,Filtered Sample Size,,*Walking Threshold: 37.7 min (local max)
1,All Available (Full Sample),0.705215691,0.705215691,0.375199943,14660,,
2,Walk,0.749024722,0.795645419,0.557592232,13801,,
3,Car_Avail,0.751307059,0.808616217,0.513830072,13621,,
4,Car_Own (1+),0.709050213,0.710067363,0.407702289,14639,,
5,Car_Own (2+),0.730495935,0.750197577,0.479795373,14275,,
6,Car_Avail + Car_Own (1+),0.751404046,0.808779979,0.520957316,13620,,
7,Car_Avail + Car_Own (2+),0.755054128,0.816244637,0.537376424,13561,,
8,Walk + Car_Avail,0.801093436,0.920234271,0.775323019,12762,,
9,Walk + Car_Own (1+),0.755073258,0.80329274,0.590547886,13780,,
10,Walk + Car_Own (2+),0.779709485,0.852008129,0.685299176,13416,,
11,Walk + Car_Avail + Car_Own (1+),0.80166728,0.920965623,0.78148911,12761,,
12,Walk + Car_Avail + Car_Own (2+),0.805856899,0.930078896,0.805787922,12702,,
