"","Total Prob.","In-Sample Prob.","Biased R^2","Filtered Sample Size"
"None",0.763315734644208,0.824142632927094,0.5848135731,13578
"Family",0.76476451650174,0.825706864922338,0.591992798816458,13578
"Children",0.76347081613207,0.824310072506713,0.585423088108366,13578
"Adults",0.763762876416338,0.824625406412101,0.587175497290058,13578
"Income",0.764948867563676,0.825905906501951,0.591421430773735,13578
"Family + Children",0.76477084706915,0.825713699958295,0.592033716253125,13578
"Family + Adults",0.765051266740108,0.826016465636322,0.593332888255103,13578
"Adults + Children",0.763894909433211,0.824767960840395,0.58774893570716,13578
"Family + Income",0.766261279861767,0.8273229019571,0.597797602251304,13578
"Family + Children + Adults",0.765059238856289,0.826025073032346,0.593404256618038,13578
"Family + Children + Income",0.766276806787234,0.827339666188014,0.597855945049022,13578
"Family + Adults + Income",0.766476150360471,0.827554894998122,0.598917029387004,13578
"Family + Children + Adults + Income",0.766498242979416,0.827578748127724,0.599014812130917,13578
"Licence",0.768742552249192,0.830001901308967,0.610048964107347,13578
"Income + Licence",0.770304732675469,0.831688568347502,0.615090088853623,13578
"Family + Licence",0.770918207295265,0.832350929367254,0.618929595137097,13578
"Family + Income + Licence",0.772206539968799,0.833741926347223,0.622911991575943,13578
"Family + Children + Adults + Income + Licence",0.772481188075922,0.834038460538593,0.624155848627715,13578
"Gender",0.763626666765233,0.824478342523075,0.585667742766886,13578
"Level",0.764142750041554,0.825035551304256,0.587432884372216,13578
"Status",0.763948660973372,0.824825995718783,0.586940353609262,13578
"Work",0.763955231421087,0.824833089750562,0.586585746106448,13578
"Gender + Level",0.764463773253267,0.825382156127036,0.588284291374155,13578
"Gender + Status",0.764263496615409,0.825165919898505,0.587779911650785,13578
"Gender + Work",0.764253794457141,0.825155444597267,0.587423783439209,13578
"Level + Work",0.764789372496734,0.825733701635154,0.589294398743249,13578
"Status + Work",0.764338530681272,0.82524693325876,0.587945290016539,13578
"Gender + Level + Work",0.765097848927766,0.82606675985278,0.590128103518469,13578
"Gender + Status + Work",0.764642927182562,0.825575586426304,0.588775745525065,13578
"Level + Family",0.765234790099876,0.82621461355606,0.593279228096388,13578
"Level + Income",0.765796300209287,0.826820869131547,0.593952495919921,13578
"Level + Family + Income",0.766755500110039,0.827856505495152,0.599096332367301,13578
"Work + Income",0.765572721944013,0.826579474421803,0.592933991218465,13578
"Work + Level + Income",0.766445830956258,0.827522159509408,0.59557713427818,13578
