"","Call","Total.Accuracy","Null","Time","Adj."
"1","0 | 1  |  Time","0.780635113775678","0.672644819428511","0","0"
"2","0 | Family  |  Time","0.784055545163226","0.679653757964585","0.0214108068301774","0.0211224536768272"
"3","0 | Children  |  Time","0.780745499966029","0.672933758157706","0.000882645964822792","0.000594292811472719"
"4","0 | Adults  |  Time","0.781923860442111","0.675197782272858","0.00779875497888849","0.00751040182553842"
"5","0 | Income  |  Time","0.78121532908432","0.673953525984444","0.00399781837467195","0.00370946522132187"
"6","0 | Family + Children  |  Time","0.784082228798034","0.679714524575302","0.0215964358176597","0.0210197295109593"
"7","0 | Family + Adults  |  Time","0.784549757294206","0.680710203841387","0.0246380228313354","0.0240613165246352"
"8","0 | Adults + Children  |  Time","0.782156752099328","0.675710678169493","0.00936554214792029","0.00878883584122003"
"9","0 | Family + Income  |  Time","0.784532728780786","0.680702290511031","0.0246138493010979","0.0240371429943976"
"10","0 | Family + Children + Adults  |  Time","0.784631427952228","0.680875852613784","0.0251440443707162","0.0242789849106656"
"11","0 | Family + Children + Income  |  Time","0.784550027464008","0.680753751644704","0.0247710520482277","0.0239059925881772"
"12","0 | Family + Adults + Income  |  Time","0.784986371176142","0.681682910567681","0.0276094336536584","0.026744374193608"
"13","0 | Family + Children + Adults + Income  |  Time","0.785050971449486","0.681829649068335","0.0280576883609706","0.02690427574757"
"14","0 | Licence  |  Time","0.786947338517305","0.687893882537936","0.0465826234452853","0.0462942702919352"
"15","0 | Income + Licence  |  Time","0.787410064112898","0.688801896798281","0.0493564126327944","0.0487797063260942"
"16","0 | Family + Licence  |  Time","0.78944445566279","0.692952283112983","0.0620349543545315","0.0614582480478312"
"17","0 | Family + Income + Licence  |  Time","0.789819623808028","0.693676196482399","0.0642463547305756","0.0633812952705252"
"18","0 | Family + Children + Adults + Income + Licence  |  Time","0.790152627282323","0.694304538507969","0.0661658051100475","0.0647240393432968"
"19","0 | Gender  |  Time","0.781007548750244","0.673541244273457","0.00273838600440257","0.0024500328510525"
"20","0 | Level  |  Time","0.781256289775669","0.674201186053722","0.0047543668699368","0.00446601371658673"
"21","0 | Status  |  Time","0.78212743108464","0.675671490635698","0.00924583262101863","0.00895747946766845"
"22","0 | Work  |  Time","0.781695021648349","0.674643292007808","0.0061049059184225","0.00581655276507242"
"23","0 | Gender + Level  |  Time","0.781635219040831","0.67506723254094","0.00739995349454969","0.00682324718784943"
"24","0 | Gender + Status  |  Time","0.782506079555706","0.676545478468934","0.0119156783577189","0.0113389720510185"
"25","0 | Gender + Work  |  Time","0.782062743706967","0.675538928482742","0.00884088362120306","0.0082641773145028"
"26","0 | Level + Work  |  Time","0.782252738807866","0.676044512893869","0.0103853357671716","0.00980862946047123"
"27","0 | Status + Work  |  Time","0.782674523088153","0.676677416402838","0.0123187205019526","0.0117420141952523"
"28","0 | Gender + Level + Work  |  Time","0.782626675975384","0.676907936880008","0.0130229112123866","0.0121578517523361"
"29","0 | Gender + Status + Work  |  Time","0.783048427979951","0.67755568879248","0.015001654641284","0.0141365951812336"
"30","0 | Level + Family  |  Time","0.784362323304991","0.680455736757434","0.0238606803634118","0.0232839740567116"
"31","0 | Level + Income  |  Time","0.781782413515331","0.675350250236304","0.00826451196852807","0.0076878056618277"
"32","0 | Level + Family + Income  |  Time","0.784841062317032","0.681473350264463","0.026969271787724","0.0261042123276736"
"33","0 | Work + Income  |  Time","0.782209491947918","0.675780041255741","0.00957743152791057","0.00900072522121032"
"34","0 | Work + Level + Income  |  Time","0.782724091941406","0.67705049658821","0.0134584006033068","0.0125933411432564"
